Kommunkod,Kon,Aldersgrupp,Tillgangar2007,Average,AboveAvg
0580,woman,65-74,730,468,1
0580,woman,75+,423,468,0
0580,total,-19,2,545,0
0580,total,20-29,103,545,0
0580,total,30-49,779,545,1
0580,total,50-64,1107,545,1
0580,total,65-74,994,545,1
0580,total,75+,631,545,1
0581,man,-19,2,502,0
0581,man,20-29,121,502,0
0581,man,30-49,636,502,1
0581,man,50-64,979,502,1
0581,man,65-74,975,502,1
0581,man,75+,588,502,1
0581,woman,-19,2,370,0
0581,woman,20-29,114,370,0
0581,woman,30-49,550,370,1
0581,woman,50-64,703,370,1
0581,woman,65-74,523,370,1
0581,woman,75+,302,370,0
0581,total,-19,2,435,0
0581,total,20-29,118,435,0
0581,total,30-49,594,435,1
0581,total,50-64,840,435,1
0581,total,65-74,738,435,1
0581,total,75+,411,435,0
0582,man,20-29,168,791,0
0582,man,30-49,1023,791,1
0582,man,50-64,1425,791,1
0582,man,65-74,1143,791,1
0582,man,75+,1049,791,1
0582,woman,20-29,191,514,0
0582,woman,30-49,659,514,1
0582,woman,50-64,980,514,1
0582,woman,65-74,678,514,1
0582,woman,75+,341,514,0
0582,total,-19,0,652,0
0582,total,20-29,179,652,0
0582,total,30-49,836,652,1
0582,total,50-64,1202,652,1
0582,total,65-74,918,652,1
0582,total,75+,624,652,0
0583,man,-19,2,552,0
0583,man,20-29,131,552,0
0583,man,30-49,620,552,1
0583,man,50-64,1222,552,1
0583,man,65-74,809,552,1
0583,man,75+,578,552,1
0583,woman,-19,2,329,0
0583,woman,20-29,121,329,0
0583,woman,30-49,469,329,1
0583,woman,50-64,593,329,1
0583,woman,65-74,495,329,1
0583,woman,75+,218,329,0
0583,total,-19,2,440,0
0583,total,20-29,126,440,0
0583,total,30-49,546,440,1
0583,total,50-64,907,440,1
0583,total,65-74,647,440,1
0583,total,75+,360,440,0
0584,man,20-29,119,893,0
0584,man,30-49,1219,893,1
0584,man,50-64,1544,893,1
0584,man,65-74,1346,893,1
0584,man,75+,876,893,0
0584,woman,20-29,93,419,0
0584,woman,30-49,548,419,1
0584,woman,50-64,761,419,1
0584,woman,65-74,528,419,1
0584,woman,75+,327,419,0
0584,total,-19,5,651,0
0584,total,20-29,107,651,0
0584,total,30-49,880,651,1
0584,total,50-64,1147,651,1
0584,total,65-74,911,651,1
0584,total,75+,540,651,0
0586,man,-19,1,624,0
0586,man,20-29,129,624,0
0586,man,30-49,837,624,1
0586,man,50-64,1195,624,1
0586,man,65-74,957,624,1
0586,man,75+,650,624,1
0586,woman,-19,1,373,0
0586,woman,20-29,148,373,0
0586,woman,30-49,552,373,1
0586,woman,50-64,718,373,1
0586,woman,65-74,513,373,1
0586,woman,75+,230,373,0
0586,total,-19,1,499,0
0586,total,20-29,138,499,0
0586,total,30-49,700,499,1
0586,total,50-64,961,499,1
0586,total,65-74,733,499,1
0586,total,75+,395,499,0
0604,man,20-29,200,624,0
0604,man,30-49,795,624,1
0604,man,50-64,1327,624,1
0604,man,65-74,885,624,1
0604,man,75+,454,624,0
0604,woman,-19,1,332,0
0604,woman,20-29,122,332,0
0604,woman,30-49,524,332,1
0604,woman,50-64,561,332,1
0604,woman,65-74,488,332,1
0604,woman,75+,257,332,0
0604,total,-19,1,480,0
0604,total,20-29,163,480,0
0604,total,30-49,663,480,1
0604,total,50-64,960,480,1
0604,total,65-74,684,480,1
0604,total,75+,339,480,0
0617,man,20-29,124,553,0
0617,man,30-49,602,553,1
0617,man,50-64,1229,553,1
0617,man,65-74,1040,553,1
0617,man,75+,665,553,1
0617,woman,-19,1,322,0
0617,woman,20-29,127,322,0
0617,woman,30-49,430,322,1
0617,woman,50-64,684,322,1
0617,woman,65-74,487,322,1
0617,woman,75+,243,322,0
0617,total,-19,2,440,0
0617,total,20-29,125,440,0
0617,total,30-49,518,440,1
0617,total,50-64,968,440,1
0617,total,65-74,767,440,1
0617,total,75+,415,440,0
0642,man,20-29,109,433,0
0642,man,30-49,552,433,1
0642,man,50-64,801,433,1
0642,man,65-74,679,433,1
0642,man,75+,620,433,1
0642,woman,20-29,128,262,0
0642,woman,30-49,378,262,1
0642,woman,50-64,483,262,1
0642,woman,65-74,401,262,1
0642,woman,75+,185,262,0
0642,total,20-29,117,348,0
0642,total,30-49,466,348,1
0642,total,50-64,643,348,1
0642,total,65-74,548,348,1
0642,total,75+,365,348,1
0643,man,20-29,196,592,0
0643,man,30-49,795,592,1
0643,man,50-64,1113,592,1
0643,man,65-74,1046,592,1
0643,man,75+,931,592,1
0643,woman,20-29,249,395,0
0643,woman,30-49,606,395,1
0643,woman,50-64,681,395,1
0643,woman,65-74,561,395,1
0643,woman,75+,392,395,0
0643,total,20-29,222,495,0
0643,total,30-49,701,495,1
0643,total,50-64,904,495,1
0643,total,65-74,802,495,1
0643,total,75+,619,495,1
0662,man,-19,1,585,0
0662,man,20-29,135,585,0
0662,man,30-49,742,585,1
0662,man,50-64,1166,585,1
0662,man,65-74,1128,585,1
0662,man,75+,625,585,1
0662,woman,-19,1,332,0
0662,woman,20-29,129,332,0
0662,woman,30-49,486,332,1
0662,woman,50-64,661,332,1
0662,woman,65-74,499,332,1
0662,woman,75+,230,332,0
0662,total,-19,1,460,0
0662,total,20-29,132,460,0
0662,total,30-49,620,460,1
0662,total,50-64,922,460,1
0662,total,65-74,809,460,1
0662,total,75+,389,460,0
0665,man,20-29,115,612,0
0665,man,30-49,727,612,1
0665,man,50-64,1290,612,1
0665,man,65-74,1129,612,1
0665,man,75+,687,612,1
0665,woman,20-29,146,347,0
0665,woman,30-49,543,347,1
0665,woman,50-64,655,347,1
0665,woman,65-74,531,347,1
0665,woman,75+,214,347,0
0665,total,-19,0,480,0
0665,total,20-29,129,480,0
0665,total,30-49,637,480,1
0665,total,50-64,987,480,1
0665,total,65-74,818,480,1
0665,total,75+,408,480,0
0680,man,-19,1,580,0
0680,man,20-29,156,580,0
0680,man,30-49,762,580,1
0680,man,50-64,1115,580,1
0680,man,65-74,1155,580,1
0680,man,75+,781,580,1
0680,woman,-19,2,431,0
0680,woman,20-29,152,431,0
0680,woman,30-49,668,431,1
0680,woman,50-64,803,431,1
0680,woman,65-74,625,431,1
0680,woman,75+,388,431,0
0680,total,-19,2,504,0
0680,total,20-29,154,504,0
0680,total,30-49,716,504,1
0680,total,50-64,957,504,1
0680,total,65-74,872,504,1
0680,total,75+,539,504,1
0682,man,-19,3,507,0
0682,man,20-29,117,507,0
0682,man,30-49,620,507,1
0682,man,50-64,990,507,1
0682,man,65-74,873,507,1
0682,man,75+,621,507,1
0682,woman,-19,2,291,0
0682,woman,20-29,116,291,0
0682,woman,30-49,434,291,1
0682,woman,50-64,545,291,1
0682,woman,65-74,361,291,1
0682,woman,75+,254,291,0
0682,total,-19,2,399,0
0682,total,20-29,116,399,0
0682,total,30-49,530,399,1
0682,total,50-64,773,399,1
0682,total,65-74,612,399,1
0682,total,75+,401,399,1
0683,man,-19,1,607,0
0683,man,20-29,149,607,0
0683,man,30-49,772,607,1
0683,man,50-64,1146,607,1
0683,man,65-74,1184,607,1
0683,man,75+,725,607,1
0683,woman,-19,2,408,0
0683,woman,20-29,149,408,0
0683,woman,30-49,585,408,1
0683,woman,50-64,803,408,1
0683,woman,65-74,564,408,1
0683,woman,75+,321,408,0
0683,total,-19,2,507,0
0683,total,20-29,149,507,0
0683,total,30-49,680,507,1
0683,total,50-64,978,507,1
0683,total,65-74,854,507,1
0683,total,75+,481,507,0
0684,man,-19,2,582,0
0684,man,20-29,112,582,0
0684,man,30-49,752,582,1
0684,man,50-64,1085,582,1
0684,man,65-74,1100,582,1
0684,man,75+,654,582,1
0684,woman,-19,6,327,0
0684,woman,20-29,95,327,0
0684,woman,30-49,414,327,1
0684,woman,50-64,682,327,1
0684,woman,65-74,574,327,1
0684,woman,75+,243,327,0
0684,total,-19,4,456,0
0684,total,20-29,104,456,0
0684,total,30-49,588,456,1
0684,total,50-64,893,456,1
0684,total,65-74,827,456,1
0684,total,75+,421,456,0
0685,man,-19,5,683,0
0685,man,20-29,157,683,0
0685,man,30-49,777,683,1
0685,man,50-64,1102,683,1
0685,man,65-74,1862,683,1
0685,man,75+,692,683,1
0685,woman,-19,1,361,0
0685,woman,20-29,133,361,0
0685,woman,30-49,496,361,1
0685,woman,50-64,697,361,1
0685,woman,65-74,517,361,1
0685,woman,75+,267,361,0
0685,total,-19,3,525,0
0685,total,20-29,146,525,0
0685,total,30-49,642,525,1
0685,total,50-64,903,525,1
0685,total,65-74,1181,525,1
0685,total,75+,444,525,0
0686,man,-19,4,571,0
0686,man,20-29,99,571,0
0686,man,30-49,767,571,1
0686,man,50-64,1055,571,1
0686,man,65-74,931,571,1
0686,man,75+,567,571,0
0686,woman,-19,0,349,0
0686,woman,20-29,110,349,0
0686,woman,30-49,501,349,1
0686,woman,50-64,635,349,1
0686,woman,65-74,475,349,1
0686,woman,75+,244,349,0
0686,total,-19,2,459,0
0686,total,20-29,104,459,0
0686,total,30-49,636,459,1
0686,total,50-64,846,459,1
0686,total,65-74,687,459,1
0686,total,75+,373,459,0
0687,man,-19,1,465,0
0687,man,20-29,104,465,0
0687,man,30-49,600,465,1
0687,man,50-64,830,465,1
0687,man,65-74,775,465,1
0687,man,75+,683,465,1
0687,woman,-19,2,286,0
0687,woman,20-29,118,286,0
0687,woman,30-49,435,286,1
0687,woman,50-64,526,286,1
0687,woman,65-74,418,286,1
0687,woman,75+,178,286,0
0687,total,-19,2,375,0
0687,total,20-29,110,375,0
0687,total,30-49,519,375,1
0687,total,50-64,677,375,1
0687,total,65-74,589,375,1
0687,total,75+,376,375,1
0760,man,-19,6,665,0
0760,man,20-29,167,665,0
0760,man,30-49,727,665,1
0760,man,50-64,1343,665,1
0760,man,65-74,1175,665,1
0760,man,75+,724,665,1
0760,woman,-19,9,337,0
0760,woman,20-29,131,337,0
0760,woman,30-49,455,337,1
0760,woman,50-64,693,337,1
0760,woman,65-74,400,337,1
0760,woman,75+,250,337,0
0760,total,-19,7,506,0
0760,total,20-29,151,506,0
0760,total,30-49,598,506,1
0760,total,50-64,1031,506,1
0760,total,65-74,791,506,1
0760,total,75+,451,506,0
0761,man,-19,6,447,0
0761,man,20-29,111,447,0
0761,man,30-49,461,447,1
0761,man,50-64,929,447,1
0761,man,65-74,738,447,1
0761,man,75+,524,447,1
0761,woman,20-29,123,262,0
0761,woman,30-49,366,262,1
0761,woman,50-64,517,262,1
0761,woman,65-74,292,262,1
0761,woman,75+,201,262,0
0761,total,-19,3,355,0
0761,total,20-29,117,355,0
0761,total,30-49,416,355,1
0761,total,50-64,727,355,1
0761,total,65-74,513,355,1
0761,total,75+,329,355,0
0763,man,20-29,215,832,0
0763,man,30-49,934,832,1
0763,man,50-64,1710,832,1
0763,man,65-74,1175,832,1
0763,man,75+,705,832,0
0763,woman,-19,1,395,0
0763,woman,20-29,156,395,0
0763,woman,30-49,515,395,1
0763,woman,50-64,754,395,1
0763,woman,65-74,588,395,1
0763,woman,75+,266,395,0
0763,total,-19,2,617,0
0763,total,20-29,188,617,0
0763,total,30-49,732,617,1
0763,total,50-64,1255,617,1
0763,total,65-74,883,617,1
0763,total,75+,456,617,0
0764,man,-19,4,690,0
0764,man,20-29,150,690,0
0764,man,30-49,845,690,1
0764,man,50-64,1168,690,1
0764,man,65-74,1498,690,1
0764,man,75+,838,690,1
0764,woman,20-29,144,387,0
0764,woman,30-49,549,387,1
0764,woman,50-64,749,387,1
0764,woman,65-74,548,387,1
0764,woman,75+,278,387,0
0764,total,-19,2,541,0
0764,total,20-29,147,541,0
0764,total,30-49,700,541,1
0764,total,50-64,970,541,1
0764,total,65-74,1021,541,1
0764,total,75+,519,541,0
0765,man,-19,3,729,0
0765,man,20-29,178,729,0
0765,man,30-49,872,729,1
0765,man,50-64,1373,729,1
0765,man,65-74,1382,729,1
0765,man,75+,795,729,1
0765,woman,-19,3,413,0
0765,woman,20-29,144,413,0
0765,woman,30-49,624,413,1
0765,woman,50-64,741,413,1
0765,woman,65-74,570,413,1
0765,woman,75+,346,413,0
0765,total,-19,3,571,0
0765,total,20-29,161,571,0
0765,total,30-49,750,571,1
0765,total,50-64,1065,571,1
0765,total,65-74,980,571,1
0765,total,75+,536,571,0
0767,man,20-29,144,604,0
0767,man,30-49,683,604,1
0767,man,50-64,1111,604,1
0767,man,65-74,849,604,1
0767,man,75+,850,604,1
0767,woman,-19,3,326,0
0767,woman,20-29,132,326,0
0767,woman,30-49,414,326,1
0767,woman,50-64,607,326,1
0767,woman,65-74,479,326,1
0767,woman,75+,302,326,0
0767,total,-19,3,465,0
0767,total,20-29,138,465,0
0767,total,30-49,553,465,1
0767,total,50-64,871,465,1
0767,total,65-74,659,465,1
0767,total,75+,532,465,1
0780,man,-19,1,675,0
0780,man,20-29,115,675,0
0780,man,30-49,889,675,1
0780,man,50-64,1300,675,1
0780,man,65-74,1431,675,1
0780,man,75+,959,675,1
0780,woman,-19,2,455,0
0780,woman,20-29,111,455,0
0780,woman,30-49,693,455,1
0780,woman,50-64,873,455,1
0780,woman,65-74,693,455,1
0780,woman,75+,413,455,0
0780,total,-19,2,565,0
0780,total,20-29,113,565,0
0780,total,30-49,795,565,1
0780,total,50-64,1084,565,1
0780,total,65-74,1048,565,1
0780,total,75+,631,565,1
0781,man,-19,2,758,0
0781,man,20-29,168,758,0
0781,man,30-49,940,758,1
0781,man,50-64,1404,758,1
0781,man,65-74,1375,758,1
0781,man,75+,869,758,1
0781,woman,-19,1,434,0
0781,woman,20-29,132,434,0
0781,woman,30-49,622,434,1
0781,woman,50-64,797,434,1
0781,woman,65-74,640,434,1
0781,woman,75+,359,434,0
0781,total,-19,2,598,0
0781,total,20-29,152,598,0
0781,total,30-49,788,598,1
0781,total,50-64,1108,598,1
0781,total,65-74,1005,598,1
0781,total,75+,568,598,0
0821,man,20-29,130,661,0
0821,man,30-49,935,661,1
0821,man,50-64,1063,661,1
0821,man,65-74,1160,661,1
0821,man,75+,520,661,0
0821,woman,20-29,92,275,0
0821,woman,30-49,332,275,1
0821,woman,50-64,486,275,1
0821,woman,65-74,504,275,1
0821,woman,75+,209,275,0
0821,total,20-29,112,470,0
0821,total,30-49,640,470,1
0821,total,50-64,792,470,1
0821,total,65-74,834,470,1
0821,total,75+,336,470,0
0834,man,-19,5,811,0
0834,man,20-29,194,811,0
0834,man,30-49,930,811,1
0834,man,50-64,1561,811,1
0834,man,65-74,1291,811,1
0834,man,75+,723,811,0
0834,woman,-19,8,368,0
0834,woman,20-29,115,368,0
0834,woman,30-49,511,368,1
0834,woman,50-64,685,368,1
0834,woman,65-74,482,368,1
0834,woman,75+,288,368,0
0834,total,-19,6,595,0
0834,total,20-29,155,595,0
0834,total,30-49,731,595,1
0834,total,50-64,1153,595,1
0834,total,65-74,879,595,1
0834,total,75+,477,595,0
0840,man,-19,2,865,0
0840,man,20-29,239,865,0
0840,man,30-49,1299,865,1
0840,man,50-64,1371,865,1
0840,man,65-74,1250,865,1
0840,man,75+,811,865,0
0840,woman,-19,6,520,0
0840,woman,20-29,243,520,0
0840,woman,30-49,758,520,1
0840,woman,50-64,848,520,1
0840,woman,65-74,666,520,1
0840,woman,75+,458,520,0
0840,total,-19,4,689,0
0840,total,20-29,241,689,0
0840,total,30-49,1021,689,1
0840,total,50-64,1112,689,1
0840,total,65-74,951,689,1
0840,total,75+,609,689,0
0860,man,20-29,136,534,0
0860,man,30-49,703,534,1
0860,man,50-64,891,534,1
0860,man,65-74,875,534,1
0860,man,75+,597,534,1
0860,woman,-19,1,277,0
0860,woman,20-29,82,277,0
0860,woman,30-49,360,277,1
0860,woman,50-64,479,277,1
0860,woman,65-74,469,277,1
0860,woman,75+,221,277,0
0860,total,-19,1,407,0
0860,total,20-29,112,407,0
0860,total,30-49,535,407,1
0860,total,50-64,692,407,1
0860,total,65-74,668,407,1
0860,total,75+,382,407,0
0861,man,-19,2,615,0
0861,man,20-29,196,615,0
0861,man,30-49,794,615,1
0861,man,50-64,1182,615,1
0861,man,65-74,916,615,1
0861,man,75+,482,615,0
0861,woman,-19,1,293,0
0861,woman,20-29,147,293,0
0861,woman,30-49,439,293,1
0861,woman,50-64,508,293,1
0861,woman,65-74,348,293,1
0861,woman,75+,216,293,0
0861,total,-19,2,455,0
0861,total,20-29,175,455,0
0861,total,30-49,618,455,1
0861,total,50-64,852,455,1
0861,total,65-74,621,455,1
0861,total,75+,330,455,0
0862,man,20-29,155,692,0
0862,man,30-49,891,692,1
0862,man,50-64,1113,692,1
0862,man,65-74,1292,692,1
0862,man,75+,579,692,0
0862,woman,-19,2,347,0
0862,woman,20-29,96,347,0
0862,woman,30-49,441,347,1
0862,woman,50-64,594,347,1
0862,woman,65-74,572,347,1
0862,woman,75+,325,347,0
0862,total,-19,3,522,0
0862,total,20-29,128,522,0
0862,total,30-49,675,522,1
0862,total,50-64,867,522,1
0862,total,65-74,936,522,1
0862,total,75+,436,522,0
0880,man,-19,2,665,0
0880,man,20-29,137,665,0
0880,man,30-49,878,665,1
0880,man,50-64,1333,665,1
0880,man,65-74,1185,665,1
0880,man,75+,790,665,1
0880,woman,-19,5,447,0
0880,woman,20-29,132,447,0
0880,woman,30-49,668,447,1
0880,woman,50-64,828,447,1
0880,woman,65-74,666,447,1
0880,woman,75+,420,447,0
0880,total,-19,3,554,0
0880,total,20-29,135,554,0
0880,total,30-49,775,554,1
0880,total,50-64,1078,554,1
0880,total,65-74,909,554,1
0880,total,75+,560,554,1
0881,man,-19,4,614,0
0881,man,20-29,109,614,0
0881,man,30-49,763,614,1
0881,man,50-64,1048,614,1
0881,man,65-74,1115,614,1
0881,man,75+,674,614,1
0881,woman,-19,1,347,0
0881,woman,20-29,107,347,0
0881,woman,30-49,514,347,1
0881,woman,50-64,600,347,1
0881,woman,65-74,484,347,1
0881,woman,75+,265,347,0
0881,total,-19,2,481,0
0881,total,20-29,108,481,0
0881,total,30-49,642,481,1
0881,total,50-64,830,481,1
0881,total,65-74,797,481,1
0881,total,75+,430,481,0
0882,man,-19,1,563,0
0882,man,20-29,156,563,0
0882,man,30-49,712,563,1
0882,man,50-64,973,563,1
0882,man,65-74,936,563,1
0882,man,75+,701,563,1
0882,woman,-19,1,343,0
0882,woman,20-29,111,343,0
0882,woman,30-49,492,343,1
0882,woman,50-64,625,343,1
0882,woman,65-74,447,343,1
0882,woman,75+,266,343,0
0882,total,-19,1,453,0
0882,total,20-29,135,453,0
0882,total,30-49,606,453,1
0882,total,50-64,799,453,1
0882,total,65-74,689,453,1
0882,total,75+,433,453,0
0883,man,-19,2,519,0
0883,man,20-29,105,519,0
0883,man,30-49,601,519,1
0883,man,50-64,968,519,1
0883,man,65-74,854,519,1
0883,man,75+,470,519,0
0883,woman,-19,2,347,0
0883,woman,20-29,103,347,0
0883,woman,30-49,503,347,1
0883,woman,50-64,599,347,1
0883,woman,65-74,475,347,1
0883,woman,75+,228,347,0
0883,total,-19,2,432,0
0883,total,20-29,104,432,0
0883,total,30-49,553,432,1
0883,total,50-64,783,432,1
0883,total,65-74,662,432,1
0883,total,75+,324,432,0
0884,man,-19,2,706,0
0884,man,20-29,206,706,0
0884,man,30-49,914,706,1
0884,man,50-64,1299,706,1
0884,man,65-74,1166,706,1
0884,man,75+,757,706,1
0884,woman,20-29,101,374,0
0884,woman,30-49,514,374,1
0884,woman,50-64,673,374,1
0884,woman,65-74,579,374,1
0884,woman,75+,330,374,0
0884,total,-19,1,541,0
0884,total,20-29,159,541,0
0884,total,30-49,718,541,1
0884,total,50-64,993,541,1
0884,total,65-74,868,541,1
0884,total,75+,509,541,0
0885,man,-19,6,905,0
0885,man,20-29,183,905,0
0885,man,30-49,1331,905,1
0885,man,50-64,1533,905,1
0885,man,65-74,1087,905,1
0885,man,75+,798,905,0
0885,woman,-19,3,590,0
0885,woman,20-29,181,590,0
0885,woman,30-49,781,590,1
0885,woman,50-64,998,590,1
0885,woman,65-74,750,590,1
0885,woman,75+,483,590,0
0885,total,-19,5,746,0
0885,total,20-29,182,746,0
0885,total,30-49,1053,746,1
0885,total,50-64,1265,746,1
0885,total,65-74,918,746,1
0885,total,75+,616,746,0
0980,man,-19,3,807,0
0980,man,20-29,165,807,0
0980,man,30-49,1028,807,1
0980,man,50-64,1427,807,1
0980,man,65-74,1408,807,1
0980,man,75+,915,807,1
0980,woman,-19,4,551,0
0980,woman,20-29,164,551,0
0980,woman,30-49,700,551,1
0980,woman,50-64,975,551,1
0980,woman,65-74,815,551,1
0980,woman,75+,605,551,1
0980,total,-19,3,678,0
0980,total,20-29,165,678,0
0980,total,30-49,863,678,1
0980,total,50-64,1204,678,1
0980,total,65-74,1104,678,1
0980,total,75+,728,678,1
1060,man,-19,2,488,0
1060,man,20-29,111,488,0
1060,man,30-49,661,488,1
1060,man,50-64,857,488,1
1060,man,65-74,695,488,1
1060,man,75+,484,488,0
1060,woman,-19,0,270,0
1060,woman,20-29,127,270,0
1060,woman,30-49,383,270,1
1060,woman,50-64,414,270,1
1060,woman,65-74,367,270,1
1060,woman,75+,273,270,1
1060,total,-19,1,380,0
1060,total,20-29,119,380,0
1060,total,30-49,526,380,1
1060,total,50-64,638,380,1
1060,total,65-74,532,380,1
1060,total,75+,364,380,0
1080,man,-19,1,613,0
1080,man,20-29,137,613,0
1080,man,30-49,809,613,1
1080,man,50-64,1130,613,1
1080,man,65-74,1155,613,1
1080,man,75+,684,613,1
1080,woman,-19,2,413,0
1080,woman,20-29,153,413,0
1080,woman,30-49,622,413,1
1080,woman,50-64,718,413,1
1080,woman,65-74,598,413,1
1080,woman,75+,341,413,0
1080,total,-19,1,514,0
1080,total,20-29,144,514,0
1080,total,30-49,720,514,1
1080,total,50-64,926,514,1
1080,total,65-74,863,514,1
1080,total,75+,474,514,0
1081,man,-19,1,585,0
1081,man,20-29,113,585,0
1081,man,30-49,747,585,1
1081,man,50-64,1121,585,1
1081,man,65-74,900,585,1
1081,man,75+,667,585,1
1081,woman,-19,1,389,0
1081,woman,20-29,169,389,0
1081,woman,30-49,531,389,1
1081,woman,50-64,669,389,1
1081,woman,65-74,545,389,1
1081,woman,75+,349,389,0
1081,total,-19,1,490,0
1081,total,20-29,136,490,0
1081,total,30-49,645,490,1
1081,total,50-64,896,490,1
1081,total,65-74,725,490,1
1081,total,75+,482,490,0
1082,man,-19,1,578,0
1082,man,20-29,139,578,0
1082,man,30-49,696,578,1
1082,man,50-64,1011,578,1
1082,man,65-74,1062,578,1
1082,man,75+,660,578,1
1082,woman,-19,1,351,0
1082,woman,20-29,135,351,0
1082,woman,30-49,518,351,1
1082,woman,50-64,585,351,1
1082,woman,65-74,452,351,1
1082,woman,75+,286,351,0
1082,total,-19,1,465,0
1082,total,20-29,137,465,0
1082,total,30-49,610,465,1
1082,total,50-64,795,465,1
1082,total,65-74,754,465,1
1082,total,75+,439,465,0
1083,man,-19,1,596,0
1083,man,20-29,165,596,0
1083,man,30-49,820,596,1
1083,man,50-64,1068,596,1
1083,man,65-74,812,596,1
1083,man,75+,623,596,1
1083,woman,-19,4,375,0
1083,woman,20-29,149,375,0
1083,woman,30-49,561,375,1
1083,woman,50-64,611,375,1
1083,woman,65-74,464,375,1
1083,woman,75+,343,375,0
1083,total,-19,3,486,0
1083,total,20-29,158,486,0
1083,total,30-49,693,486,1
1083,total,50-64,837,486,1
1083,total,65-74,643,486,1
1083,total,75+,463,486,0
1214,man,20-29,901,912,0
1214,man,30-49,1022,912,1
1214,man,50-64,1890,912,1
1214,man,65-74,1235,912,1
1214,man,75+,704,912,0
1214,woman,-19,1,440,0
1214,woman,20-29,192,440,0
1214,woman,30-49,613,440,1
1214,woman,50-64,899,440,1
1214,woman,65-74,588,440,1
1214,woman,75+,306,440,0
1214,total,-19,1,682,0
1214,total,20-29,563,682,0
1214,total,30-49,823,682,1
1214,total,50-64,1421,682,1
1214,total,65-74,930,682,1
1214,total,75+,482,682,0
1230,man,-19,3,930,0
1230,man,20-29,211,930,0
1230,man,30-49,1200,930,1
1230,man,50-64,1736,930,1
1230,man,65-74,1808,930,1
1230,man,75+,1321,930,1
1230,woman,-19,2,732,0
1230,woman,20-29,317,732,0
1230,woman,30-49,1067,732,1
1230,woman,50-64,1270,732,1
1230,woman,65-74,1112,732,1
1230,woman,75+,705,732,0
1230,total,-19,3,831,0
1230,total,20-29,260,831,0
1230,total,30-49,1133,831,1
1230,total,50-64,1502,831,1
1230,total,65-74,1451,831,1
1230,total,75+,982,831,1
1231,man,20-29,177,575,0
1231,man,30-49,754,575,1
1231,man,50-64,1016,575,1
1231,man,65-74,1042,575,1
1231,man,75+,930,575,1
1231,woman,20-29,223,487,0
1231,woman,30-49,731,487,1
1231,woman,50-64,833,487,1
1231,woman,65-74,655,487,1
1231,woman,75+,528,487,1
1231,total,-19,1,531,0
1231,total,20-29,199,531,0
1231,total,30-49,743,531,1
1231,total,50-64,926,531,1
1231,total,65-74,843,531,1
1231,total,75+,687,531,1
1233,man,-19,3,1612,0
1233,man,20-29,290,1612,0
1233,man,30-49,2152,1612,1
1233,man,50-64,2838,1612,1
1233,man,65-74,2685,1612,1
1233,man,75+,2074,1612,1
1233,woman,-19,2,1337,0
1233,woman,20-29,485,1337,0
1233,woman,30-49,1853,1337,1
1233,woman,50-64,2186,1337,1
1233,woman,65-74,1949,1337,1
1233,woman,75+,1450,1337,1
1233,total,-19,2,1473,0
1233,total,20-29,382,1473,0
1233,total,30-49,1998,1473,1
1233,total,50-64,2504,1473,1
1233,total,65-74,2324,1473,1
1233,total,75+,1721,1473,1
1256,man,-19,2,572,0
1256,man,20-29,114,572,0
1256,man,30-49,644,572,1
1256,man,50-64,1244,572,1
1256,man,65-74,724,572,1
1256,man,75+,711,572,1
1256,woman,-19,3,298,0
1256,woman,20-29,132,298,0
1256,woman,30-49,415,298,1
1256,woman,50-64,549,298,1
1256,woman,65-74,450,298,1
1256,woman,75+,213,298,0
1256,total,-19,2,436,0
1256,total,20-29,123,436,0
1256,total,30-49,531,436,1
1256,total,50-64,909,436,1
1256,total,65-74,588,436,1
1256,total,75+,423,436,0
1257,man,20-29,183,635,0
1257,man,30-49,775,635,1
1257,man,50-64,1143,635,1
1257,man,65-74,985,635,1
1257,man,75+,908,635,1
1257,woman,-19,1,340,0
1257,woman,20-29,166,340,0
1257,woman,30-49,513,340,1
1257,woman,50-64,598,340,1
1257,woman,65-74,412,340,1
1257,woman,75+,292,340,0
1257,total,-19,0,490,0
1257,total,20-29,175,490,0
1257,total,30-49,649,490,1
1257,total,50-64,879,490,1
1257,total,65-74,709,490,1
1257,total,75+,538,490,1
1260,man,-19,1,511,0
1260,man,20-29,175,511,0
1260,man,30-49,829,511,1
1260,man,50-64,761,511,1
1260,man,65-74,728,511,1
1260,man,75+,621,511,1
1260,woman,-19,1,330,0
1260,woman,20-29,170,330,0
1260,woman,30-49,522,330,1
1260,woman,50-64,529,330,1
1260,woman,65-74,466,330,1
1260,woman,75+,308,330,0
1260,total,-19,1,421,0
1260,total,20-29,172,421,0
1260,total,30-49,680,421,1
1260,total,50-64,647,421,1
1260,total,65-74,600,421,1
1260,total,75+,437,421,1
1261,man,-19,0,878,0
1261,man,20-29,215,878,0
1261,man,30-49,1203,878,1
1261,man,50-64,1613,878,1
1261,man,65-74,1651,878,1
1261,man,75+,894,878,1
1261,woman,-19,3,671,0
1261,woman,20-29,280,671,0
1261,woman,30-49,1044,671,1
1261,woman,50-64,1117,671,1
1261,woman,65-74,1012,671,1
1261,woman,75+,467,671,0
1261,total,-19,2,774,0
1261,total,20-29,247,774,0
1261,total,30-49,1124,774,1
1261,total,50-64,1366,774,1
1261,total,65-74,1337,774,1
1261,total,75+,642,774,0
1262,man,-19,5,1323,0
1262,man,20-29,308,1323,0
1262,man,30-49,1739,1323,1
